ED_num,AD_num,zohran25,cuomo25,lander25,total25,districtid,public_housing,selected_devs,cuomo_share,mamdani_share,lander_share,leader_name,category
ED    1,AD 23,31,121,23,198,23001,FALSE,FALSE,0.6111111111111112,0.15656565656565657,0.11616161616161616,Cuomo,Cuomo 60‑80%
ED    1,AD 24,27,27,0,56,24001,FALSE,FALSE,0.48214285714285715,0.48214285714285715,0,Tie,Tie
ED    1,AD 25,140,126,15,319,25001,FALSE,FALSE,0.3949843260188088,0.438871473354232,0.047021943573667714,Mamdani,Mamdani 40‑60%
ED    1,AD 26,72,25,5,108,26001,FALSE,FALSE,0.23148148148148148,0.6666666666666666,0.046296296296296294,Mamdani,Mamdani 60‑80%
ED    1,AD 27,23,22,3,52,27001,FALSE,FALSE,0.4230769230769231,0.4423076923076923,0.057692307692307696,Mamdani,Mamdani 40‑60%
ED    1,AD 28,63,28,3,100,28001,FALSE,FALSE,0.28,0.63,0.03,Mamdani,Mamdani 60‑80%
ED    1,AD 29,58,197,3,300,29001,FALSE,FALSE,0.6566666666666666,0.19333333333333333,0.01,Cuomo,Cuomo 60‑80%
ED    1,AD 30,54,86,7,163,30001,FALSE,FALSE,0.5276073619631901,0.3312883435582822,0.04294478527607362,Cuomo,Cuomo 40‑60%
ED    1,AD 31,42,166,4,238,31001,FALSE,FALSE,0.6974789915966386,0.17647058823529413,0.01680672268907563,Cuomo,Cuomo 60‑80%
ED    1,AD 32,12,9,0,22,32001,FALSE,FALSE,0.4090909090909091,0.5454545454545454,0,Mamdani,Mamdani 40‑60%
ED    1,AD 33,137,90,8,255,33001,FALSE,FALSE,0.35294117647058826,0.5372549019607843,0.03137254901960784,Mamdani,Mamdani 40‑60%
ED    1,AD 34,253,87,56,413,34001,FALSE,FALSE,0.2106537530266344,0.612590799031477,0.13559322033898305,Mamdani,Mamdani 60‑80%
ED    1,AD 35,94,76,8,194,35001,FALSE,FALSE,0.3917525773195876,0.4845360824742268,0.041237113402061855,Mamdani,Mamdani 40‑60%
ED    1,AD 36,159,86,13,280,36001,FALSE,FALSE,0.30714285714285716,0.5678571428571428,0.04642857142857143,Mamdani,Mamdani 40‑60%
ED    1,AD 37,339,91,63,533,37001,FALSE,FALSE,0.17073170731707318,0.6360225140712945,0.11819887429643527,Mamdani,Mamdani 60‑80%
ED    1,AD 38,334,44,11,394,38001,FALSE,FALSE,0.1116751269035533,0.8477157360406091,0.027918781725888325,Mamdani,Mamdani 80%+
ED    1,AD 39,289,122,57,506,39001,FALSE,FALSE,0.24110671936758893,0.5711462450592886,0.11264822134387352,Mamdani,Mamdani 40‑60%
ED    1,AD 40,81,58,5,155,40001,FALSE,FALSE,0.3741935483870968,0.5225806451612903,0.03225806451612903,Mamdani,Mamdani 40‑60%
ED    1,AD 41,65,201,4,295,41001,FALSE,FALSE,0.6813559322033899,0.22033898305084745,0.013559322033898305,Cuomo,Cuomo 60‑80%
ED    1,AD 42,22,3,2,29,42001,FALSE,FALSE,0.10344827586206896,0.7586206896551724,0.06896551724137931,Mamdani,Mamdani 60‑80%
ED    1,AD 43,405,55,41,521,43001,FALSE,FALSE,0.10556621880998081,0.7773512476007678,0.07869481765834933,Mamdani,Mamdani 60‑80%
ED    1,AD 44,356,33,83,509,44001,FALSE,FALSE,0.06483300589390963,0.6994106090373281,0.16306483300589392,Mamdani,Mamdani 60‑80%
ED    1,AD 45,40,214,13,279,45001,FALSE,FALSE,0.7670250896057348,0.14336917562724014,0.04659498207885305,Cuomo,Cuomo 60‑80%
ED    1,AD 46,121,49,40,234,46001,FALSE,FALSE,0.2094017094017094,0.5170940170940171,0.17094017094017094,Mamdani,Mamdani 40‑60%
ED    1,AD 47,29,31,3,63,47001,FALSE,FALSE,0.49206349206349204,0.4603174603174603,0.047619047619047616,Cuomo,Cuomo 40‑60%
ED    1,AD 48,16,35,4,61,48001,FALSE,FALSE,0.5737704918032787,0.26229508196721313,0.06557377049180328,Cuomo,Cuomo 40‑60%
ED    1,AD 49,63,26,7,101,49001,FALSE,FALSE,0.25742574257425743,0.6237623762376238,0.06930693069306931,Mamdani,Mamdani 60‑80%
ED    1,AD 50,503,87,88,708,50001,FALSE,FALSE,0.1228813559322034,0.71045197740113,0.12429378531073447,Mamdani,Mamdani 60‑80%
ED    1,AD 51,119,45,12,181,51001,FALSE,FALSE,0.24861878453038674,0.6574585635359116,0.06629834254143646,Mamdani,Mamdani 60‑80%
ED    1,AD 52,5,208,0,239,52001,FALSE,FALSE,0.8702928870292888,0.02092050209205021,0,Cuomo,Cuomo 80%+
ED    1,AD 53,347,65,22,454,53001,FALSE,FALSE,0.14317180616740088,0.76431718061674,0.048458149779735685,Mamdani,Mamdani 60‑80%
ED    1,AD 54,38,10,1,51,54001,FALSE,FALSE,0.19607843137254902,0.7450980392156863,0.0196078431372549,Mamdani,Mamdani 60‑80%
ED    1,AD 55,270,88,23,417,55001,FALSE,FALSE,0.21103117505995203,0.6474820143884892,0.05515587529976019,Mamdani,Mamdani 60‑80%
ED    1,AD 56,33,98,0,142,56001,TRUE,FALSE,0.6901408450704225,0.2323943661971831,0,Cuomo,Cuomo 60‑80%
ED    1,AD 57,59,70,1,160,57001,TRUE,FALSE,0.4375,0.36875,0.00625,Cuomo,Cuomo 40‑60%
ED    1,AD 58,47,103,3,176,58001,FALSE,FALSE,0.5852272727272727,0.26704545454545453,0.017045454545454544,Cuomo,Cuomo 40‑60%
ED    1,AD 59,16,61,0,92,59001,FALSE,FALSE,0.6630434782608695,0.17391304347826086,0,Cuomo,Cuomo 60‑80%
ED    1,AD 60,30,93,2,147,60001,FALSE,FALSE,0.6326530612244898,0.20408163265306123,0.013605442176870748,Cuomo,Cuomo 60‑80%
ED    1,AD 61,88,95,2,204,61001,FALSE,FALSE,0.46568627450980393,0.43137254901960786,0.00980392156862745,Cuomo,Cuomo 40‑60%
