ED_num,AD_num,zohran25,cuomo25,lander25,total25,districtid,public_housing,selected_devs,cuomo_share,mamdani_share,lander_share,leader_name,category
ED    1,AD 69,11,52,3,72,69001,TRUE,TRUE,0.7222222222222222,0.1527777777777778,0.041666666666666664,Cuomo,Cuomo 60‑80%
ED    2,AD 69,175,130,25,349,69002,TRUE,TRUE,0.37249283667621774,0.501432664756447,0.07163323782234957,Mamdani,Mamdani 40‑60%
ED    3,AD 57,50,73,3,150,57003,TRUE,TRUE,0.4866666666666667,0.3333333333333333,0.02,Cuomo,Cuomo 40‑60%
ED    3,AD 69,42,95,3,170,69003,TRUE,TRUE,0.5588235294117647,0.24705882352941178,0.01764705882352941,Cuomo,Cuomo 40‑60%
ED    4,AD 57,36,90,6,153,57004,TRUE,TRUE,0.5882352941176471,0.23529411764705882,0.0392156862745098,Cuomo,Cuomo 40‑60%
ED    4,AD 69,30,74,1,127,69004,TRUE,TRUE,0.5826771653543307,0.23622047244094488,0.007874015748031496,Cuomo,Cuomo 40‑60%
ED    5,AD 57,16,37,2,65,57005,TRUE,TRUE,0.5692307692307692,0.24615384615384617,0.03076923076923077,Cuomo,Cuomo 40‑60%
ED   10,AD 79,45,70,0,121,79010,TRUE,TRUE,0.5785123966942148,0.371900826446281,0,Cuomo,Cuomo 40‑60%
ED   11,AD 79,52,97,0,161,79011,TRUE,TRUE,0.6024844720496895,0.32298136645962733,0,Cuomo,Cuomo 60‑80%
ED   12,AD 27,77,144,6,262,27012,TRUE,TRUE,0.549618320610687,0.29389312977099236,0.022900763358778626,Cuomo,Cuomo 40‑60%
ED   12,AD 65,30,86,8,144,65012,FALSE,TRUE,0.5972222222222222,0.20833333333333334,0.05555555555555555,Cuomo,Cuomo 40‑60%
ED   13,AD 79,49,69,0,127,79013,TRUE,TRUE,0.5433070866141733,0.3858267716535433,0,Cuomo,Cuomo 40‑60%
ED   14,AD 79,40,91,0,148,79014,TRUE,TRUE,0.6148648648648649,0.2702702702702703,0,Cuomo,Cuomo 60‑80%
ED   15,AD 68,28,70,0,107,68015,TRUE,TRUE,0.6542056074766355,0.2616822429906542,0,Cuomo,Cuomo 60‑80%
ED   15,AD 79,64,78,1,157,79015,FALSE,TRUE,0.4968152866242038,0.40764331210191085,0.006369426751592357,Cuomo,Cuomo 40‑60%
ED   16,AD 27,48,100,5,163,27016,FALSE,TRUE,0.6134969325153374,0.294478527607362,0.03067484662576687,Cuomo,Cuomo 60‑80%
ED   16,AD 68,37,63,0,110,68016,TRUE,TRUE,0.5727272727272728,0.33636363636363636,0,Cuomo,Cuomo 40‑60%
ED   17,AD 27,78,66,5,166,27017,TRUE,TRUE,0.39759036144578314,0.46987951807228917,0.030120481927710843,Mamdani,Mamdani 40‑60%
ED   17,AD 79,22,70,0,110,79017,TRUE,TRUE,0.6363636363636364,0.2,0,Cuomo,Cuomo 60‑80%
ED   18,AD 27,19,66,3,106,27018,TRUE,TRUE,0.6226415094339622,0.1792452830188679,0.02830188679245283,Cuomo,Cuomo 60‑80%
ED   18,AD 65,62,107,13,212,65018,TRUE,TRUE,0.5047169811320755,0.29245283018867924,0.06132075471698113,Cuomo,Cuomo 40‑60%
ED   18,AD 79,35,52,0,94,79018,FALSE,TRUE,0.5531914893617021,0.3723404255319149,0,Cuomo,Cuomo 40‑60%
