ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Zohran Kwame Mamdani,(Democratic),31,AD 23,2025-07-02_13:52:44.218735
ED    1,99.00%,Scott M. Stringer,(Democratic),7,AD 23,2025-07-02_13:52:44.218735
ED    1,99.00%,Selma K. Bartholomew,(Democratic),0,AD 23,2025-07-02_13:52:44.218735
ED    1,99.00%,Zellnor Myrie,(Democratic),1,AD 23,2025-07-02_13:52:44.218735
ED    1,99.00%,Adrienne E. Adams,(Democratic),0,AD 23,2025-07-02_13:52:44.218735
ED    1,99.00%,Andrew M. Cuomo,(Democratic),121,AD 23,2025-07-02_13:52:44.218735
ED    1,99.00%,Jessica Ramos,(Democratic),0,AD 23,2025-07-02_13:52:44.218735
ED    1,99.00%,Whitney R. Tilson,(Democratic),4,AD 23,2025-07-02_13:52:44.218735
ED    1,99.00%,Michael Blake,(Democratic),3,AD 23,2025-07-02_13:52:44.218735
ED    1,99.00%,Brad Lander,(Democratic),23,AD 23,2025-07-02_13:52:44.218735
ED    1,99.00%,Paperboy Love Prince,(Democratic),7,AD 23,2025-07-02_13:52:44.218735
ED    1,99.00%,WRITE-IN,&nbsp,1,AD 23,2025-07-02_13:52:44.218735
ED    2,99.00%,Zohran Kwame Mamdani,(Democratic),25,AD 23,2025-07-02_13:52:44.218735
ED    2,99.00%,Scott M. Stringer,(Democratic),6,AD 23,2025-07-02_13:52:44.218735
ED    2,99.00%,Selma K. Bartholomew,(Democratic),1,AD 23,2025-07-02_13:52:44.218735
ED    2,99.00%,Zellnor Myrie,(Democratic),0,AD 23,2025-07-02_13:52:44.218735
ED    2,99.00%,Adrienne E. Adams,(Democratic),6,AD 23,2025-07-02_13:52:44.218735
ED    2,99.00%,Andrew M. Cuomo,(Democratic),108,AD 23,2025-07-02_13:52:44.218735
ED    2,99.00%,Jessica Ramos,(Democratic),0,AD 23,2025-07-02_13:52:44.218735
ED    2,99.00%,Whitney R. Tilson,(Democratic),5,AD 23,2025-07-02_13:52:44.218735
ED    2,99.00%,Michael Blake,(Democratic),1,AD 23,2025-07-02_13:52:44.218735
ED    2,99.00%,Brad Lander,(Democratic),14,AD 23,2025-07-02_13:52:44.218735
ED    2,99.00%,Paperboy Love Prince,(Democratic),1,AD 23,2025-07-02_13:52:44.218735
ED    2,99.00%,WRITE-IN,&nbsp,1,AD 23,2025-07-02_13:52:44.218735
ED    3,99.00%,Zohran Kwame Mamdani,(Democratic),10,AD 23,2025-07-02_13:52:44.218735
ED    3,99.00%,Scott M. Stringer,(Democratic),3,AD 23,2025-07-02_13:52:44.218735
ED    3,99.00%,Selma K. Bartholomew,(Democratic),0,AD 23,2025-07-02_13:52:44.218735
ED    3,99.00%,Zellnor Myrie,(Democratic),0,AD 23,2025-07-02_13:52:44.218735
ED    3,99.00%,Adrienne E. Adams,(Democratic),2,AD 23,2025-07-02_13:52:44.218735
ED    3,99.00%,Andrew M. Cuomo,(Democratic),25,AD 23,2025-07-02_13:52:44.218735
ED    3,99.00%,Jessica Ramos,(Democratic),1,AD 23,2025-07-02_13:52:44.218735
ED    3,99.00%,Whitney R. Tilson,(Democratic),2,AD 23,2025-07-02_13:52:44.218735
ED    3,99.00%,Michael Blake,(Democratic),0,AD 23,2025-07-02_13:52:44.218735
ED    3,99.00%,Brad Lander,(Democratic),5,AD 23,2025-07-02_13:52:44.218735
ED    3,99.00%,Paperboy Love Prince,(Democratic),0,AD 23,2025-07-02_13:52:44.218735
ED    3,99.00%,WRITE-IN,&nbsp,1,AD 23,2025-07-02_13:52:44.218735
ED    4,75.00%,Zohran Kwame Mamdani,(Democratic),42,AD 23,2025-07-02_13:52:44.218735
ED    4,75.00%,Scott M. Stringer,(Democratic),8,AD 23,2025-07-02_13:52:44.218735
ED    4,75.00%,Selma K. Bartholomew,(Democratic),0,AD 23,2025-07-02_13:52:44.218735
ED    4,75.00%,Zellnor Myrie,(Democratic),1,AD 23,2025-07-02_13:52:44.218735
ED    4,75.00%,Adrienne E. Adams,(Democratic),3,AD 23,2025-07-02_13:52:44.218735
ED    4,75.00%,Andrew M. Cuomo,(Democratic),158,AD 23,2025-07-02_13:52:44.218735
ED    4,75.00%,Jessica Ramos,(Democratic),0,AD 23,2025-07-02_13:52:44.218735
ED    4,75.00%,Whitney R. Tilson,(Democratic),3,AD 23,2025-07-02_13:52:44.218735
ED    4,75.00%,Michael Blake,(Democratic),1,AD 23,2025-07-02_13:52:44.218735
ED    4,75.00%,Brad Lander,(Democratic),25,AD 23,2025-07-02_13:52:44.218735
ED    4,75.00%,Paperboy Love Prince,(Democratic),3,AD 23,2025-07-02_13:52:44.218735
ED    4,75.00%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:52:44.218735
ED    5,75.00%,Zohran Kwame Mamdani,(Democratic),37,AD 23,2025-07-02_13:52:44.218735
ED    5,75.00%,Scott M. Stringer,(Democratic),7,AD 23,2025-07-02_13:52:44.218735
ED    5,75.00%,Selma K. Bartholomew,(Democratic),0,AD 23,2025-07-02_13:52:44.218735
